description_id,product_id,contents
1,EF1R8018KI13SOL,"""<p>Jacquard knit dress with body motif</p>\r\n    <ul>\r\n        <li>High neck</li>\r\n        <li>Structured shoulders</li>\r\n        <li>Long sleeves</li>\r\n        <li>\r\n            Visible gold metal zip fastening on the back with Balmain\r\n            Paris-engraved slider\r\n        </li>\r\n        <li>Ribbed trim</li>\r\n        <li>Knit with shiny threads</li>\r\n        <li>Short slim fit</li>\r\n        <li>Model measures 179cm and wears a size 36</li>\r\n        <li>\r\n            Main material: 60% viscose 16% polyamide 13% polyester 10% cotton 1%\r\n            elastane\r\n        </li>\r\n        <li>Made in France</li>\r\n        <li>Item: EF1R8018KI13</li>\r\n    </ul>"""
2,EF1SK716XC670FA,"""<p>Textured tweed jacket</p>\r\n    <ul>\r\n        <li>Round neckline</li>\r\n        <li>Structured shoulders</li>\r\n        <li>Long sleeves</li>\r\n        <li>Straight cuffs with 5 buttons</li>\r\n        <li>2 fake pockets with decorative buttons</li>\r\n        <li>Front fastening with 4 press studs</li>\r\n        <li>\""Double Chain Lion\"" press studs in gold metal</li>\r\n        <li>2 slash inside pockets</li>\r\n        <li>Twill lining</li>\r\n        <li>Fitted cut</li>\r\n        <li>Model measures 179cm and wears a size 36</li>\r\n        <li>Main material: 100% polyamide</li>\r\n        <li>Made in Poland</li>\r\n        <li>Item: EF1SK716XC67</li>\r\n    </ul>"""
3,EF1UE100VH64EAB,"""<p >\r\n        Reversible coat with \""Love Letter\"" print\r\n    </p>\r\n    <ul >\r\n        <li >Classic collar</li>\r\n        <li >Long sleeves</li>\r\n        <li >Straight cuffs with 5 buttons</li>\r\n        <li >\r\n            2 slash side pockets with buttons on both sides\r\n        </li>\r\n        <li >Front fastening with 5 buttons</li>\r\n        <li >\r\n            \""Double Chain Lion\"" buttons in gold metal\r\n        </li>\r\n        <li >Storm flap on one side</li>\r\n        <li >Back vent</li>\r\n        <li >Long cut</li>\r\n        <li >\r\n            Model measures 179cm and wears a size 36\r\n        </li>\r\n        <li >Main material: 100% viscose</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EF1UE100VH64</li>\r\n    </ul>"""
4,BF1EF005BB02OLA,"""<p>T-shirt with Balmain Paris print</p>\r\n    <ul>\r\n        <li>Relaxed fit</li>\r\n        <li>Round neck with ribbed trim</li>\r\n        <li>3 decorative embossed gold metal buttons on the shoulder</li>\r\n        <li>Short sleeves</li>\r\n        <li>Contrasting Balmain Paris logo printed on the front</li>\r\n        <li>Model measures 179cm and wears a size S</li>\r\n        <li>Main material: 100% cotton</li>\r\n        <li>Made in Portugal</li>\r\n        <li>Item: BF1EF005BB02</li>\r\n    </ul>\r\n    <p>\r\n        100% of the cotton fibres used to make this garment are certified and\r\n        organically farmed\r\n    </p>"""
5,BF1EF005BB02GAB,"""<p>T-shirt with Balmain Paris print</p>\r\n    <ul>\r\n        <li>Relaxed fit</li>\r\n        <li>Round neck with ribbed trim</li>\r\n        <li>3 decorative embossed gold metal buttons on the shoulder</li>\r\n        <li>Short sleeves</li>\r\n        <li>Contrasting Balmain Paris logo printed on the front</li>\r\n        <li>Model measures 179cm and wears a size S</li>\r\n        <li>Main material: 100% cotton</li>\r\n        <li>Made in Portugal</li>\r\n        <li>Item: BF1EF005BB02</li>\r\n    </ul>\r\n    <p>\r\n        100% of the cotton fibres used to make this garment are certified and\r\n        organically farmed\r\n    </p>"""
6,BF1EF005BB02EAB,"""<p>T-shirt with Balmain Paris print</p>\r\n    <ul>\r\n        <li>Relaxed fit</li>\r\n        <li>Round neck with ribbed trim</li>\r\n        <li>3 decorative embossed gold metal buttons on the shoulder</li>\r\n        <li>Short sleeves</li>\r\n        <li>Contrasting Balmain Paris logo printed on the front</li>\r\n        <li>Model measures 179cm and wears a size S</li>\r\n        <li>Main material: 100% cotton</li>\r\n        <li>Made in Portugal</li>\r\n        <li>Item: BF1EF005BB02</li>\r\n    </ul>\r\n    <p>\r\n        100% of the cotton fibres used to make this garment are certified and\r\n        organically farmed\r\n    </p>"""
7,BF1EF005BB02OIR,"""<p>T-shirt with Balmain Paris print</p>\r\n    <ul>\r\n        <li>Relaxed fit</li>\r\n        <li>Round neck with ribbed trim</li>\r\n        <li>3 decorative embossed gold metal buttons on the shoulder</li>\r\n        <li>Short sleeves</li>\r\n        <li>Contrasting Balmain Paris logo printed on the front</li>\r\n        <li>Model measures 179cm and wears a size S</li>\r\n        <li>Main material: 100% cotton</li>\r\n        <li>Made in Portugal</li>\r\n        <li>Item: BF1EF005BB02</li>\r\n    </ul>\r\n    <p>\r\n        100% of the cotton fibres used to make this garment are certified and\r\n        organically farmed\r\n    </p>"""
8,BF1EF005BB02MCZ,"""<p>T-shirt with Balmain Paris print</p>\r\n    <ul>\r\n        <li>Relaxed fit</li>\r\n        <li>Round neck with ribbed trim</li>\r\n        <li>3 decorative embossed gold metal buttons on the shoulder</li>\r\n        <li>Short sleeves</li>\r\n        <li>Contrasting Balmain Paris logo printed on the front</li>\r\n        <li>Model measures 179cm and wears a size S</li>\r\n        <li>Main material: 100% cotton</li>\r\n        <li>Made in Portugal</li>\r\n        <li>Item: BF1EF005BB02</li>\r\n    </ul>\r\n    <p>\r\n        100% of the cotton fibres used to make this garment are certified and\r\n        organically farmed\r\n    </p>"""
9,EF1KA115KH87EAB,"""<p >Balmain Couture two-tone knit top</p>\r\n    <ul >\r\n        <li >Round neckline</li>\r\n        <li >Short sleeves</li>\r\n        <li >\r\n            Contrasting jacquard Balmain Couture logo on the front\r\n        </li>\r\n        <li >Ribbed neckline and hem</li>\r\n        <li >Classic fit</li>\r\n        <li >\r\n            Model measures 178cm and wears a size 36\r\n        </li>\r\n        <li >Main material: 100% virgin wool</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EF1KA115KH87</li>\r\n    </ul>"""
10,EF1KA115KH87MIG,"""<p >Balmain Couture two-tone knit top</p>\r\n    <ul >\r\n        <li >Round neckline</li>\r\n        <li >Short sleeves</li>\r\n        <li >\r\n            Contrasting jacquard Balmain Couture logo on the front\r\n        </li>\r\n        <li >Ribbed neckline and hem</li>\r\n        <li >Classic fit</li>\r\n        <li >\r\n            Model measures 178cm and wears a size 36\r\n        </li>\r\n        <li >Main material: 100% virgin wool</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EF1KA115KH87</li>\r\n    </ul>"""
11,EF1HT020VH61GAB,"""<p>Pussy-bow shirt with \""Love Letter\"" print</p>\r\n    <ul>\r\n        <li>Pussy bow collar</li>\r\n        <li>Shoulder pleats</li>\r\n        <li>Long sleeves</li>\r\n        <li>Straight press-stud cuffs</li>\r\n        <li>Front fastening with press studs</li>\r\n        <li>Rounded hem</li>\r\n        <li>Long, relaxed fit</li>\r\n        <li>Model measures 179cm and wears a size 36</li>\r\n        <li>Main material: 100% viscose</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EF1HT020VH61</li>\r\n    </ul>"""
12,EF1JQ002BB02SOY,"""<p >Printed Balmain Paris sweatshirt</p>\r\n    <ul >\r\n        <li >Round neckline</li>\r\n        <li >\r\n            3 decorative embossed gold metal buttons on the shoulder\r\n        </li>\r\n        <li >Long sleeves</li>\r\n        <li >\r\n            Contrasting Balmain Paris logo printed on the front\r\n        </li>\r\n        <li >Ribbed trim</li>\r\n        <li >Regular cropped cut</li>\r\n        <li >\r\n            Model measures 179cm and wears a size S\r\n        </li>\r\n        <li >Main material: 100% cotton</li>\r\n        <li >Made in Portugal</li>\r\n        <li >Item: EF1JQ002BB02</li>\r\n    </ul>\r\n    <p >\r\n        100% of the cotton fibres used to make this garment are certified and\r\n        organically farmed\r\n    </p>"""
13,EF1KL133KH93IAC,"""<p >Jacquard knit cardigan with body motif</p>\r\n    <ul >\r\n        <li >Round neckline</li>\r\n        <li >Structured shoulders</li>\r\n        <li >Long sleeves</li>\r\n        <li >Fastening with 6 buttons</li>\r\n        <li >2 patch pockets with press studs</li>\r\n        <li >\r\n            \""Double Chain Lion\"" buttons in gold metal\r\n        </li>\r\n        <li >Plain back</li>\r\n        <li >Ribbed trim</li>\r\n        <li >Relaxed fit</li>\r\n        <li >\r\n            Model measures 179cm and wears a size 36\r\n        </li>\r\n        <li >\r\n            Main material: 81% merino wool 16% viscose 3% metallic polyester\r\n        </li>\r\n        <li >Made in France</li>\r\n        <li >Item: EF1KL133KH93</li>\r\n    </ul>"""
14,EF1LC245JJ95EDY,"""<p >\r\n        Jacquard skirt with Balmain ribbon motif\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Visible gold metal zip fastening on the back with Balmain\r\n            Paris-engraved slider\r\n        </li>\r\n        <li >Jersey lining</li>\r\n        <li >Short, tight, high-waisted fit</li>\r\n        <li >\r\n            Model measures 179cm and wears a size 36\r\n        </li>\r\n        <li >\r\n            Main material: 97% viscose 2% polyamide 1% elastane\r\n        </li>\r\n        <li >Made in Portugal</li>\r\n        <li >Item: EF1LC245JJ95</li>\r\n    </ul>"""
15,EF1PO160WC090PA,"""<p >Tailored plain grain de poudre trousers</p>\r\n    <ul >\r\n        <li >\r\n            Waistband with belt loops and a triple belt loop at the back\r\n        </li>\r\n        <li >\r\n            Zip and hook fastening under a placket\r\n        </li>\r\n        <li >2 Italian side pockets</li>\r\n        <li >Regular fit</li>\r\n        <li >\r\n            Model measures 179cm and wears a size 36\r\n        </li>\r\n        <li >Main material: 100% wool</li>\r\n        <li >Made in Slovakia</li>\r\n        <li >Item: EF1PO160WC09</li>\r\n    </ul>\r\n    <p >\r\n        100% of the wool fibres used to make this garment are sourced from sheep\r\n        farms that are certified and animal welfare-friendly\r\n    </p>"""
16,CF1MA012DB690FA,"""<p >Denim shorts</p>\r\n    <ul >\r\n        <li >High sailor-style waist</li>\r\n        <li >\r\n            6 \""Balmain Chain” golden metal buttons\r\n        </li>\r\n        <li >\r\n            2 pockets, western cut-out details\r\n        </li>\r\n        <li >\r\n            Model measures 178cm and wears a size 36\r\n        </li>\r\n        <li >Main material: 100% cotton</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: CF1MA012DB69</li>\r\n    </ul>"""
17,EF1KL220KH806FF,"""<p >\r\n        Jacquard knit cardigan with denim effect\r\n    </p>\r\n    <ul >\r\n        <li >Round neckline</li>\r\n        <li >Structured shoulders</li>\r\n        <li >Long sleeves</li>\r\n        <li >\r\n            Fastening with 6 \""Double Chain Lion\"" press studs in gold metal\r\n        </li>\r\n        <li >\r\n            Woven Balmain Couture label on the waist\r\n        </li>\r\n        <li >Fitted cut</li>\r\n        <li >\r\n            Model measures 179cm and wears a size 36\r\n        </li>\r\n        <li >\r\n            Main material: 84% viscose 8% polyamide 8% polyester\r\n        </li>\r\n        <li >Made in France</li>\r\n        <li >Item: EF1KL220KH80</li>\r\n    </ul>\r\n    <p >\r\n        100% of the viscose fibres used to make this garment come from\r\n        certified, sustainably managed forests\r\n    </p>"""
18,BKB852200104,"""<p >Two-piece printed PB Labyrinth swimsuit</p>\r\n    <ul >\r\n        <li >Triangle top</li>\r\n        <li >Gold metal PB logo</li>\r\n        <li >Neck fastening with 2 tie straps</li>\r\n        <li >\r\n            Gold metal hook fastening at the back\r\n        </li>\r\n        <li >High-cut briefs</li>\r\n        <li >\r\n            Model measures 179cm and wears a size 36\r\n        </li>\r\n        <li >\r\n            Main material: 81% polyamide 19% elastane\r\n        </li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: BKB852200</li>\r\n    </ul>"""
19,EN1DB943LHLB0PA,"""<p >\r\n        Medium diamond-quilted leather Jolie Madame bag\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand, on the shoulder or across the body\r\n        </li>\r\n        <li >\r\n            Leather and chain shoulder strap, adjustable and detachable with\r\n            snap hooks\r\n        </li>\r\n        <li >\r\n            Leather handle with engraved B logos and rings\r\n        </li>\r\n        <li >Structured side panels</li>\r\n        <li >\r\n            Metal Balmain Paris logo on the front\r\n        </li>\r\n        <li >\r\n            Magnetic fastening and leather tab\r\n        </li>\r\n        <li >Engraved metal bag feet</li>\r\n        <li >Inside patch pocket</li>\r\n        <li >\r\n            Inside leather card pocket, embossed Balmain logo\r\n        </li>\r\n        <li >Leather lining</li>\r\n        <li >Gold hardware</li>\r\n        <li >\r\n            Dimensions: 8.5 x 34.5 x 22.5&nbsp;cm\r\n        </li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1DB943LHLB</li>\r\n    </ul>"""
20,EN1DB530LHLB0PA,"""<p >\r\n        B-Buzz 23 bag in diamond-quilted calfskin\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand, on the shoulder or across the body\r\n        </li>\r\n        <li >Leather handle</li>\r\n        <li >\r\n            Removable leather shoulder strap with snap hooks\r\n        </li>\r\n        <li >\r\n            Flap with quarter-turn B-Twist clasp\r\n        </li>\r\n        <li >Patch pocket on the back</li>\r\n        <li >Inside zipped pocket</li>\r\n        <li >Inside leather card pocket</li>\r\n        <li >Metal bag feet</li>\r\n        <li >Vintage gold hardware</li>\r\n        <li >Dimensions: 23 x 20 x 11&nbsp;cm</li>\r\n        <li >Shoulder strap: 110&nbsp;cm</li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1DB530LHLB</li>\r\n    </ul>"""
21,EN1BQ954LETF0PA,"""<p >\r\n        1945 Soft Moon bag in embossed crinkled calfskin with a PB Labyrinth\r\n        monogram\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand, on the shoulder or across the body\r\n        </li>\r\n        <li >Metal Balmain logo</li>\r\n        <li >\r\n            Chain handle interlaced with leather\r\n        </li>\r\n        <li >\r\n            Adjustable removable shoulder strap with a buckle and snap hooks\r\n        </li>\r\n        <li >\r\n            Metal side plaques with engraved B buttons\r\n        </li>\r\n        <li >Zip fastening</li>\r\n        <li >Twill lining</li>\r\n        <li >Inside patch pocket</li>\r\n        <li >Embossed leather card pocket</li>\r\n        <li >Gold hardware</li>\r\n        <li >\r\n            Dimensions: 28 x 20.5 x 5.5&nbsp;cm\r\n        </li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1BQ954LETF</li>\r\n    </ul>"""
22,EN1BQ954TTSD6FF,"""<p >\r\n        1945 Soft Moon bag in embossed crinkled calfskin with a PB Labyrinth\r\n        monogram\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand, on the shoulder or across the body\r\n        </li>\r\n        <li >Metal Balmain logo</li>\r\n        <li >\r\n            Chain handle interlaced with leather\r\n        </li>\r\n        <li >\r\n            Adjustable removable shoulder strap with a buckle and snap hooks\r\n        </li>\r\n        <li >\r\n            Metal side plaques with engraved B buttons\r\n        </li>\r\n        <li >Zip fastening</li>\r\n        <li >Twill lining</li>\r\n        <li >Inside patch pocket</li>\r\n        <li >Embossed leather card pocket</li>\r\n        <li >Gold hardware</li>\r\n        <li >\r\n            Dimensions: 28 x 20.5 x 5.5&nbsp;cm\r\n        </li>\r\n        <li >Main material: 100% calfskin</li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: EN1BQ954LETF</li>\r\n    </ul>"""
23,DN0FD871LETF0DA,"""<p >\r\n        Small 1945 Soft bag in embossed crackled calfskin with a PB Labyrinth\r\n        monogram\r\n    </p>\r\n    <ul >\r\n        <li >\r\n            Carry in the hand or wear on the shoulder\r\n        </li>\r\n        <li >Metal Balmain logo</li>\r\n        <li >\r\n            Adjustable side gussets, 3 press studs\r\n        </li>\r\n        <li >\r\n            Double handles in leather and chains interlaced with leather\r\n        </li>\r\n        <li >Engraved eyelets</li>\r\n        <li >Magnetic clasp</li>\r\n        <li >Twill lining</li>\r\n        <li >Inside pockets with press studs</li>\r\n        <li >Leather card pocket</li>\r\n        <li >Reinforced bottom</li>\r\n        <li >Metal bag feet</li>\r\n        <li >Gold hardware</li>\r\n        <li >Dimensions: 28 x 21 x 9.8 cm</li>\r\n        <li >\r\n            Main material: 100% calfskin leather\r\n        </li>\r\n        <li >Made in Italy</li>\r\n        <li >Item: DN0FD871LETF</li>\r\n    </ul>"""
24,EN1DA961TECSGAU,"""<p>Small Jolie Madame bag in leather and printed \""Love Letter\"" canvas</p>\r\n    <ul>\r\n        <li>Carry in the hand, on the shoulder or across the body</li>\r\n        <li>\r\n            Leather and chain shoulder strap, adjustable and detachable with\r\n            snap hooks\r\n        </li>\r\n        <li>Leather handle with engraved B logos and rings</li>\r\n        <li>Structured side panels</li>\r\n        <li>Metal Balmain Paris logo on the front</li>\r\n        <li>Magnetic fastening and leather tab</li>\r\n        <li>Engraved metal bag feet</li>\r\n        <li>Inside leather card pocket, embossed Balmain logo</li>\r\n        <li>Leather lining</li>\r\n        <li>Gold hardware</li>\r\n        <li>Dimensions: 8.5 x 28.5 x 21&nbsp;cm</li>\r\n        <li>Main material: 58% cotton 42% linen</li>\r\n        <li>Made in Italy</li>\r\n        <li>Item: EN1DA961TECS</li>\r\n    </ul>"""
